0.0001362	6.65373411565e-16
0.000354	6.4235183909e-16
0.0006805	6.2168655418e-16
0.0011155	5.99415916517e-16
0.0034	5.44689166577e-16
0.00882	4.25177934873e-16
0.017	3.648502039e-16
0.0279	2.80600825007e-16
0.0415	2.26987339847e-16
0.05785	1.74707018756e-16
0.0769	1.35819234073e-16
0.09855	1.02952688285e-16
0.123	7.78407372589e-17
0.166	5.09871227252e-17
0.203	3.78290525869e-17
0.215	3.53784908245e-17
0.225	3.35040703098e-17
0.235	3.19802279363e-17
0.245	3.06500179448e-17
0.255	2.99947002844e-17
0.2635	2.85269637021e-17
0.2685	2.84916134413e-17
0.275	2.91357785772e-17
0.285	2.81423489635e-17
0.3	2.84174532107e-17
0.329	2.82653952627e-17
0.3945	3.30917526157e-17
0.4925	4.66518773464e-17
0.6015	6.52427063545e-17
0.7215	8.63924884503e-17
0.852	1.12711833935e-16
0.995	1.40335278227e-16
1.145	1.74226859729e-16
1.7	3.10811338037e-16
2.59	4.77968710525e-16
3.2	6.11738779343e-16
4.15	8.26150007284e-16
4.95	1.00945733716e-15
5.835	1.22069454906e-15
7.085	1.57575895448e-15
8.105	1.85049239913e-15
9.355	2.14218523597e-15
10.5	2.33223535243e-15
12.3	2.46370272334e-15
14.3	2.43052407175e-15
15.75	2.34608420447e-15
18.05	2.18715079132e-15
19.8	2.04493092901e-15
21.5	1.92514673877e-15
24.85	1.72596614197e-15
28.35	1.54807028471e-15
30.3	1.46994007947e-15
34.95	1.32415781912e-15
39.65	1.17507795125e-15
42.05	1.13093481558e-15
46.6	1.02673065594e-15
