5.44E-05	6.77E-16
2.18E-04	6.55E-16
4.90E-04	6.33E-16
8.71E-04	6.11E-16
1.36E-03	5.89E-16
5.44E-03	4.88E-16
1.22E-02	3.99E-16
2.18E-02	3.21E-16
3.40E-02	2.55E-16
4.90E-02	2.00E-16
6.67E-02	1.55E-16
8.71E-02	1.19E-16
1.10E-01	8.97E-17
1.36E-01	6.79E-17
1.96E-01	3.95E-17
2.10E-01	3.64E-17
2.20E-01	3.44E-17
2.30E-01	3.27E-17
2.40E-01	3.13E-17
2.50E-01	3.02E-17
2.60E-01	2.94E-17
2.67E-01	2.82E-17
2.70E-01	2.88E-17
2.80E-01	2.84E-17
2.90E-01	2.82E-17
3.10E-01	2.83E-17
3.48E-01	2.90E-17
4.41E-01	3.84E-17
5.44E-01	5.58E-17
6.59E-01	7.47E-17
7.84E-01	9.90E-17
9.20E-01	1.26E-16
1.07E00	1.56E-16
1.22E00	1.93E-16
2.18E00	3.94E-16
3.00E00	5.69E-16
3.40E00	6.55E-16
4.90E00	9.99E-16
5.00E00	1.02E-15
6.67E00	1.46E-15
7.50E00	1.69E-15
8.71E00	2.00E-15
1.00E01	2.26E-15
1.10E01	2.39E-15
1.36E01	2.46E-15
1.50E01	2.39E-15
1.65E01	2.30E-15
1.96E01	2.06E-15
2.00E01	2.03E-15
2.30E01	1.83E-15
2.67E01	1.63E-15
3.00E01	1.48E-15
3.06E01	1.46E-15
3.93E01	1.18E-15
4.00E01	1.17E-15
4.41E01	1.08E-15
4.91E01	9.88E-16
5.00E01	9.74E-16
