x	y	distance	energy	collision
0.0117760287147	-0.00228288551296	0.0119952665062	164.304502819	10
0.00746607351476	0.00181743729573	0.00768409604649	562.787147875	10
0.00723291454957	0.000218505023685	0.00723621429525	812.384011112	19
0.0158888824462	-0.0030720510551	0.0161831419407	342.980684275	16
0.0068186648469	0.000692974290667	0.00685378754134	2.04613595359	11
0.0129103107785	0.00142036354166	0.0129882083826	5.28638162779	10
0.00821426468963	-0.000140050039035	0.0082154585024	986.126435405	10
0.0106512411322	0.000426564758782	0.0106597793199	0.379514989957	16
0.0149464363653	0.00361924761139	0.0153783911153	10.0002756135	16
0.00674691504153	-0.00138266182267	0.00688713411322	14.7216449839	15
0.00949011722574	0.00177416981153	0.00965453279442	690.377792085	8
0.0209886178362	-0.00376433102625	0.021323514409	26.2049269532	18
0.00706443472747	-0.00182355439791	0.00729599812643	122.029213629	11
0.00467637437137	0.000625776633818	0.00471805825067	783.372927619	8
0.0112808593439	-0.00437122423911	0.0120981564251	773.722126851	10
0.0121921328052	0.0023592541891	0.0124183003132	340.397818601	14
0.0307116580221	0.00378549999377	0.0309440777641	465.423203515	15
0.00587535696231	-0.00185184190631	0.00616028715893	1.89103844301	3
0.00776730050832	0.00197238583106	0.00801381700896	3.70638292687	9
0.0116347052652	0.00155833170148	0.0117386014627	400.769240869	15
